KeyName,KeyLastWriteTimestamp,Categories,DiscoveryMethod,FriendlyName,Icon,IsActive,IsConnected,IsMachineContainer,IsNetworked,IsPaired,Manufacturer,ModelId,ModelName,ModelNumber,PrimaryCategory,State
{11530fda-1743-2b07-9b8c-c194185599f1},2025-07-09 15:35:06,printfax.printer.virtual,,OneNote (Desktop),"C:\Windows\System32\DDORes.dll,-2414",True,True,False,False,False,,{bc2219b1-7555-7c93-26c9-8674c8a8ec1b},Send to Microsoft OneNote 16 Driver,,printfax.printer.virtual,9
{27db0821-3bf9-f71a-f96f-a53403857690},2025-07-09 15:34:58,computer,,LAB-ZZ-WIN,"C:\Windows\System32\DDORes.dll,-2061",True,True,True,False,False,"VMware, Inc.",,"VMware20,1",,computer,25
{33f74aa6-3200-a595-2468-4bd61579632d},2025-07-09 15:35:01,display.monitor,,,"C:\Windows\System32\DDORes.dll,-2102",True,True,False,False,False,,{00b0927b-ab73-c599-59d5-8b32708d77c3},Generic Non-PnP Monitor,,display.monitor,9
{36f221a1-6b6e-7bfe-cf71-c373cd9985e4},2025-07-09 15:35:02,network,,Intel(R) 82574L Gigabit Network Connection,"C:\Windows\System32\DDORes.dll,-2001",True,True,False,False,False,,{2c4781fb-6d80-dfd4-4cb9-b932b5d58162},Ethernet Controller,,unknown,9
{5609ae42-a3af-cf86-1f65-cceebeb459fa},2025-07-09 15:34:58,audio,,Speakers (High Definition Audio Device),"%windir%\system32\mmres.dll,-3010",True,True,False,False,False,,{1138e203-2a0b-97f3-d069-801d9c083aa7},Speakers (High Definition Audio Device),,audio,9
{5aab2346-e2f7-06c2-97cc-f7505dcf308e},2025-07-09 15:34:18,component.hub.usb,,,"C:\Windows\System32\DDORes.dll,-2001",False,False,False,False,False,,{58908b22-f023-8676-533c-aca40090aea5},USB Root Hub (USB 3.0),,unknown,0
{5ac0a216-f52b-b792-7443-a92b58138aaf},2025-07-09 15:34:58,input.mouse,,,"C:\Windows\System32\DDORes.dll,-2212",False,False,False,False,False,,{dedd0e58-16f4-6db6-edcf-b86a481370f5},VMware Virtual USB Mouse,,input.mouse,0
{69b7a61d-ceb5-e10c-d8fd-7a3c056f2344},2025-07-09 15:35:07,audio,,Microphone (High Definition Audio Device),"%windir%\system32\mmres.dll,-3014",True,True,False,False,False,,{1138e203-2a0b-97f3-d069-801d9c083aa7},Microphone (High Definition Audio Device),,audio,9
{6e6c2e2f-33a6-9d36-1acd-33707a987196},2025-07-09 15:35:05,printfax.printer.file,,Microsoft XPS Document Writer,"C:\Windows\System32\DDORes.dll,-2414",True,True,False,False,False,,{63e262cd-de1a-0741-2baa-25f72900a032},Microsoft XPS Document Writer v4,,printfax.printer.file,9
{95eca3ba-2346-06b1-8bf2-ba57ce95d84f},2025-07-09 15:35:07,printfax.printer.virtual,,OneNote for Windows 10,"C:\Windows\System32\DDORes.dll,-2414",True,True,False,False,False,,{b29d9289-6cd5-fa63-e747-7cdbe402ad72},Microsoft Software Printer Driver,,printfax.printer.virtual,9
{9739aaa0-8eb4-f5c2-ee2b-d1aa226ac7a5},2025-07-09 15:35:05,storage.fdd,,,"C:\Windows\System32\DDORes.dll,-2516",False,False,False,False,False,,{ae73b833-e23a-ab0d-5feb-daadc71e5383},Floppy disk drive,,storage.fdd,0
{a0999735-adcb-a6e4-f8a4-04fa060a1646},2025-07-09 15:34:58,storage,,VMware Virtual NVMe Disk,"C:\Windows\System32\DDORes.dll,-2511",True,True,False,False,False,,{39ed91e9-3a1c-f1bf-7b0d-4613b1cf92b1},VMware Virtual NVMe Disk,,storage,9
{aaee4ced-2d0c-30ca-b87c-043845d18be9},2025-07-09 15:35:14,component.hub.usb,,,"C:\Windows\System32\DDORes.dll,-2001",True,True,False,False,False,,{8f692514-c366-1aa4-07e1-0159f65964fa},USB Root Hub (USB 3.0),,unknown,9
{b0cf76b9-5aa0-7dbd-b1fb-2637b60270e2},2025-07-09 15:35:06,unknown,,,"C:\Windows\System32\DDORes.dll,-2001",True,True,False,False,False,,{85a03742-c961-ca85-7eac-31eb86fa91b9},PCI Device,,unknown,9
{b9980b15-ab1e-ea18-5135-4d6d80d455bb},2025-07-09 15:34:58,network.bluetooth,,,"C:\Windows\System32\DDORes.dll,-2389",False,False,False,False,False,,{0e8fd6e3-e347-16cd-6c4a-b94b8da0f575},Virtual Bluetooth Adapter,,network.bluetooth,0
{c19833f6-0197-c8b9-f4a2-5bde5fe2ea2e},2025-07-09 15:34:59,input.mouse,,,"C:\Windows\System32\DDORes.dll,-2212",True,True,False,False,False,,{dedd0e58-16f4-6db6-edcf-b86a481370f5},VMware Virtual USB Mouse,,input.mouse,9
{d1d421a5-8c7c-6b4a-4d50-f79e292ac205},2025-07-09 15:34:18,component.hub.usb,,,"C:\Windows\System32\DDORes.dll,-2001",True,True,False,False,False,,{f64ee839-d6ee-ee75-4c2d-f4f79dd83b21},VMware Virtual USB Hub,,unknown,9
{f7522009-9b95-3d39-82b1-850eeec071d9},2025-07-09 15:35:06,printfax.fax,,Fax,"C:\Windows\System32\DDORes.dll,-2412",True,True,False,False,False,,{2c0386d2-3111-0865-fad8-3d6a56fa1f49},Microsoft Shared Fax Driver,,printfax.fax,9
{f90220f9-4f8a-608d-278b-198c3c4938ad},2025-07-09 15:34:18,printfax.printer.file,,Microsoft Print to PDF,"C:\Windows\System32\DDORes.dll,-2414",True,True,False,False,False,,{85345646-6c16-4d25-1877-240718614f8d},Microsoft Print To PDF,,printfax.printer.file,9
