KeyName,KeyLastWriteTimestamp,BusReportedDescription,Class,ClassGuid,Compid,ContainerId,Description,DriverId,DriverPackageStrongName,DriverName,DriverVerDate,DriverVerVersion,Enumerator,HWID,Inf,InstallState,Manufacturer,MatchingId,Model,ParentId,ProblemCode,Provider,Service,Stackid
acpi/acpi0003/1,2025-07-09 15:34:28,,battery,{72631e54-78a4-11d0-bcf7-00aa00b7b32a},,{27db0821-3bf9-f71a-f96f-a53403857690},Microsoft AC Adapter,000077597541caaedf91a09f855efe2a2d38fa4fb761,cmbatt.inf_amd64_554d46f6008bc631,cmbatt.sys,06-21-2006,10.0.19041.1,acpi,"acpi\ven_acpi&dev_0003,acpi\acpi0003,*acpi0003",cmbatt.inf,0,Microsoft,acpi\acpi0003,Microsoft AC Adapter,acpi_hal\pnp0c08\0,0,Microsoft,cmbatt,"\driver\cmbatt,\driver\acpi"
acpi/fixedbutton/2&daba3ff&0,2025-07-09 15:34:57,,system,{4d36e97d-e325-11ce-bfc1-08002be10318},,{27db0821-3bf9-f71a-f96f-a53403857690},ACPI Fixed Feature Button,,machine.inf_amd64_72ab89a5cc3218be,,06-21-2006,10.0.19041.3636,acpi,"acpi\fixedbutton,*fixedbutton",machine.inf,0,(Standard system devices),acpi\fixedbutton,ACPI Fixed Feature Button,acpi_hal\pnp0c08\0,0,Microsoft,,\driver\acpi
acpi/genuineintel_-_intel64_family_6_model_142_-_intel(r)_core(tm)_i7-7500u_cpu_@_2.70ghz/_0,2025-07-09 15:34:57,,processor,{50127dc3-0f36-415e-a6cc-4cb3be910b65},acpi\processor,{27db0821-3bf9-f71a-f96f-a53403857690},Intel(R) Core(TM) i7-7500U CPU @ 2.70GHz,000007f6e2972be526f56634322d716086618af2b134,cpu.inf_amd64_405c347a5eef5f2a,intelppm.sys,04-21-2009,10.0.19041.5794,acpi,"acpi\genuineintel_-_intel64_family_6_model_142,*genuineintel_-_intel64_family_6_model_142,acpi\genuineintel_-_intel64_family_6,*genuineintel_-_intel64_family_6,acpi\genuineintel_-_intel64,*genuineintel_-_intel64",cpu.inf,0,Intel,acpi\genuineintel_-_intel64,Intel Processor,acpi_hal\pnp0c08\0,0,Microsoft,intelppm,"\driver\intelppm,\driver\acpi"
acpi/pnp0001/4&1bd7f811&0,2025-07-09 15:34:57,,system,{4d36e97d-e325-11ce-bfc1-08002be10318},,{27db0821-3bf9-f71a-f96f-a53403857690},EISA programmable interrupt controller,,machine.inf_amd64_72ab89a5cc3218be,,06-21-2006,10.0.19041.3636,acpi,"acpi\ven_pnp&dev_0001,acpi\pnp0001,*pnp0001",machine.inf,0,(Standard system devices),*pnp0001,EISA programmable interrupt controller,pci\ven_8086&dev_7110&subsys_197615ad&rev_08\3&61aaa01&0&38,0,Microsoft,,\driver\acpi
acpi/pnp0100/4&1bd7f811&0,2025-07-09 15:34:58,,system,{4d36e97d-e325-11ce-bfc1-08002be10318},,{27db0821-3bf9-f71a-f96f-a53403857690},System timer,,machine.inf_amd64_72ab89a5cc3218be,,06-21-2006,10.0.19041.3636,acpi,"acpi\ven_pnp&dev_0100,acpi\pnp0100,*pnp0100",machine.inf,0,(Standard system devices),*pnp0100,System timer,pci\ven_8086&dev_7110&subsys_197615ad&rev_08\3&61aaa01&0&38,0,Microsoft,,\driver\acpi
acpi/pnp0103/4&1bd7f811&0,2025-07-09 15:34:40,,system,{4d36e97d-e325-11ce-bfc1-08002be10318},*pnp0c01,{27db0821-3bf9-f71a-f96f-a53403857690},High precision event timer,,machine.inf_amd64_72ab89a5cc3218be,,06-21-2006,10.0.19041.3636,acpi,"acpi\ven_pnp&dev_0103,acpi\pnp0103,*pnp0103",machine.inf,0,(Standard system devices),*pnp0103,High precision event timer,pci\ven_8086&dev_7110&subsys_197615ad&rev_08\3&61aaa01&0&38,0,Microsoft,,\driver\acpi
acpi/pnp0200/4&1bd7f811&0,2025-07-09 15:34:54,,system,{4d36e97d-e325-11ce-bfc1-08002be10318},,{27db0821-3bf9-f71a-f96f-a53403857690},Direct memory access controller,,machine.inf_amd64_72ab89a5cc3218be,,06-21-2006,10.0.19041.3636,acpi,"acpi\ven_pnp&dev_0200,acpi\pnp0200,*pnp0200",machine.inf,0,(Standard system devices),*pnp0200,Direct memory access controller,pci\ven_8086&dev_7110&subsys_197615ad&rev_08\3&61aaa01&0&38,0,Microsoft,,\driver\acpi
acpi/pnp0303/4&1bd7f811&0,2025-07-09 15:34:50,,keyboard,{4d36e96b-e325-11ce-bfc1-08002be10318},,{27db0821-3bf9-f71a-f96f-a53403857690},Standard PS/2 Keyboard,00005d81ba523d31016e8c793a7467a7c41a1f35b907,keyboard.inf_amd64_5938c699b80ebb8f,i8042prt.sys,06-21-2006,10.0.19041.1,acpi,"acpi\ven_pnp&dev_0303,acpi\pnp0303,*pnp0303",keyboard.inf,0,(Standard keyboards),*pnp0303,Standard PS/2 Keyboard,pci\ven_8086&dev_7110&subsys_197615ad&rev_08\3&61aaa01&0&38,0,Microsoft,i8042prt,"\driver\kbdclass,\driver\i8042prt,\driver\acpi"
acpi/pnp0800/4&1bd7f811&0,2025-07-09 15:34:57,,system,{4d36e97d-e325-11ce-bfc1-08002be10318},,{27db0821-3bf9-f71a-f96f-a53403857690},System speaker,,machine.inf_amd64_72ab89a5cc3218be,,06-21-2006,10.0.19041.3636,acpi,"acpi\ven_pnp&dev_0800,acpi\pnp0800,*pnp0800",machine.inf,0,(Standard system devices),*pnp0800,System speaker,pci\ven_8086&dev_7110&subsys_197615ad&rev_08\3&61aaa01&0&38,0,Microsoft,,\driver\acpi
acpi/pnp0a03/2&daba3ff&0,2025-07-09 15:34:34,,system,{4d36e97d-e325-11ce-bfc1-08002be10318},*pnp0a08,{27db0821-3bf9-f71a-f96f-a53403857690},PCI Bus,0000cbded3faa6669679b496f5a798d543f2a711b3b8,pci.inf_amd64_fa7515b440352bbb,pci.sys,06-21-2006,10.0.19041.5607,acpi,"acpi\ven_pnp&dev_0a03,acpi\pnp0a03,*pnp0a03",pci.inf,0,(Standard system devices),*pnp0a03,PCI Bus,acpi_hal\pnp0c08\0,0,Microsoft,pci,"\driver\pci,\driver\acpi"
acpi/pnp0a05/10,2025-07-09 15:34:28,,system,{4d36e97d-e325-11ce-bfc1-08002be10318},,{27db0821-3bf9-f71a-f96f-a53403857690},Generic Bus,,machine.inf_amd64_72ab89a5cc3218be,,06-21-2006,10.0.19041.3636,acpi,"acpi\ven_pnp&dev_0a05,acpi\pnp0a05,*pnp0a05",machine.inf,0,(Standard system devices),*pnp0a05,Generic Bus,acpi_hal\pnp0c08\0,0,Microsoft,,\driver\acpi
acpi/pnp0a05/11,2025-07-09 15:34:28,,system,{4d36e97d-e325-11ce-bfc1-08002be10318},,{27db0821-3bf9-f71a-f96f-a53403857690},Generic Bus,,machine.inf_amd64_72ab89a5cc3218be,,06-21-2006,10.0.19041.3636,acpi,"acpi\ven_pnp&dev_0a05,acpi\pnp0a05,*pnp0a05",machine.inf,0,(Standard system devices),*pnp0a05,Generic Bus,acpi_hal\pnp0c08\0,0,Microsoft,,\driver\acpi
