KeyName,LnkName,KeyLastWriteTimestamp
access.lnk|108d3342098bb528,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Access.lnk,2025-07-09 15:50:24
administrative t|65228553ab9d6519,c:\users\client\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\System Tools\Administrative Tools.lnk,2025-07-09 15:51:29
character map.ln|a9bafb4ca6647e44,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\System Tools\Character Map.lnk,2025-07-09 15:50:30
command prompt.l|e47f7f8b59e60fda,c:\users\client\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\System Tools\Command Prompt.lnk,2025-07-09 15:51:29
component servic|359825efd3d8f6e7,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Component Services.lnk,2025-07-09 15:50:30
computer managem|234510a6c0bf02bf,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Computer Management.lnk,2025-07-09 15:50:30
computer.lnk|2ef597614879f3df,c:\users\client\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\System Tools\computer.lnk,2025-07-09 15:51:29
control panel.ln|77702935400e70c8,c:\users\client\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\System Tools\Control Panel.lnk,2025-07-09 15:51:29
dfrgui.lnk|6d94f7be43a3a3a6,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\dfrgui.lnk,2025-07-09 15:50:30
disk cleanup.lnk|62909f750f89c6e5,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Disk Cleanup.lnk,2025-07-09 15:50:30
endpoint self he|9cc19cc1d7168936,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Sophos\Endpoint Self Help.lnk,2025-07-09 15:50:49
event viewer.lnk|53b878dde735fea7,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Event Viewer.lnk,2025-07-09 15:50:30
excel.lnk|55a857be1a997a6a,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Excel.lnk,2025-07-09 15:50:34
file explorer.ln|84a15e396f2c531,c:\users\client\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\System Tools\File Explorer.lnk,2025-07-09 15:51:29
file explorer.ln|a44c7ff4f6aa4b12,c:\users\client\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch\User Pinned\TaskBar\File Explorer.lnk,2025-07-09 15:51:30
google chrome.ln|32f2f2b02e508cef,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Google Chrome.lnk,2025-07-09 15:50:35
google chrome.ln|fd5a6049317900fa,C:\Users\Public\Desktop\Google Chrome.lnk,2025-07-09 15:51:05
internet explore|f226142265630039,c:\users\client\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Accessories\Internet Explorer.lnk,2025-07-09 15:51:28
iscsi initiator.|afb67f6079313688,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\iSCSI Initiator.lnk,2025-07-09 15:50:31
magnify.lnk|fce9e89635770f02,c:\users\client\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Accessibility\Magnify.lnk,2025-07-09 15:51:28
math input panel|984bf2fa2a87f169,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Math Input Panel.lnk,2025-07-09 15:50:29
memory diagnosti|feac8b8d8877aa2c,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Memory Diagnostics Tool.lnk,2025-07-09 15:50:32
microsoft edge.l|175f76ca52d847af,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Microsoft Edge.lnk,2025-07-09 15:50:35
microsoft edge.l|308e9910bcdcb1fd,C:\Users\Public\Desktop\Microsoft Edge.lnk,2025-07-09 15:51:05
narrator.lnk|ff8aa8e2234599b8,c:\users\client\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Accessibility\Narrator.lnk,2025-07-09 15:51:28
notepad.lnk|508c89a410e13c2b,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Notepad.lnk,2025-07-09 15:50:30
odbc data source|42e93af66b0179cc,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\ODBC Data Sources (32-bit).lnk,2025-07-09 15:50:32
odbc data source|9740663b465a3030,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\ODBC Data Sources (64-bit).lnk,2025-07-09 15:50:33
office language |eaf47eea357b7c8d,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Microsoft Office Tools\Office Language Preferences.lnk,2025-07-09 15:50:35
on-screen keyboa|ecea696a2fe303d2,c:\users\client\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Accessibility\On-Screen Keyboard.lnk,2025-07-09 15:51:28
onedrive.lnk|b79d920ebd7ed879,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\OneDrive.lnk,2025-07-09 15:50:36
onenote.lnk|be2aa75cdaced0c1,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\OneNote.lnk,2025-07-09 15:50:37
outlook (classic|588dc42124679436,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Outlook (classic).lnk,2025-07-09 15:50:37
pageant.lnk|1e5c5fec7a350f18,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\PuTTY (64-bit)\Pageant.lnk,2025-07-09 15:50:39
