ApplicationName,ProgramId,FileKeyLastWriteTimestamp,SHA1,IsOsComponent,FullPath,Name,FileExtension,LinkDate,ProductName,Size,Version,ProductVersion,LongPathHash,BinaryType,IsPeFile,BinFileVersion,BinProductVersion,Usn,Language,Description
Unassociated,00068fd67623491f66be1529ba2d6ebe089800000904,2025-01-31 12:38:47,1ce2c579469f891cc708d786c34ad71c31661d65,False,c:\program files\vmware\vmware tools\7za.exe,7za.exe,.exe,2022-09-17 00:46:41,7-zip,1287544,22.01,22.01,7za.exe|20a3741b59c746a7,pe64_amd64,False,22.1.0.0,22.1.0.0,832904128,1033,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2024-04-12 14:26:26,0ca2c2bc80775c1889b9116f4ebf63d43072c3dc,True,c:\windows\system32\aggregatorhost.exe,AggregatorHost.exe,.exe,2033-12-13 08:17:25,,321536,,,aggregatorhost.e|2f15385328865347,pe64_amd64,False,,,557142288,0,
Unassociated,0006fab356290bd1f6106fcd27a5bcebf45700000000,2025-07-09 15:33:01,38ac4c4796985313547cb877f22e604d22fa695d,False,c:\users\client\amcacheparser\amcacheparser.exe,AmcacheParser.exe,.exe,2077-08-10 16:58:50,amcacheparser,4931640,1.5.2.0,1.5.2+41484591de04144e1569eaad23e65cd719f8e154,amcacheparser.ex|474da5af80fa09c4,pe32_clr_il,False,1.5.2.0,1.5.2.0,1947532352,0,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2025-07-08 13:31:12,deb2ed9a3834ed30b801080fd0f3e90a5b686197,True,c:\windows\system32\apphostregistrationverifier.exe,AppHostRegistrationVerifier.exe,.exe,2080-01-26 12:55:54,microsoft® windows® operating system,120320,10.0.19041.4355 (winbuild.160101.0800),10.0.19041.4355,apphostregistrat|23d050ec54a320fe,pe64_amd64,False,10.0.19041.4355,10.0.19041.4355,1866640848,1033,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2025-07-08 00:12:46,8b8a93c81ab865b7cf200dfebd7b37b82b2bdfa8,True,c:\windows\system32\applicationframehost.exe,ApplicationFrameHost.exe,.exe,2030-05-10 22:41:13,microsoft® windows® operating system,80120,10.0.19041.5794 (winbuild.160101.0800),10.0.19041.5794,applicationframe|7c5c9be1b612bbd,pe64_amd64,False,10.0.19041.5794,10.0.19041.5794,1680432168,1033,
Unassociated,0006b87128803f94b8fb39adc9d9159a333200000000,2025-01-31 14:26:04,24c1ff467a0e8b1a2327d882feebb2221ec7f1a9,False,c:\program files\common files\microsoft shared\clicktorun\appvcleaner.exe,appvcleaner.exe,.exe,2025-01-15 09:25:16,microsoft office,1568512,16.0.18324.20194,16.0.18324.20194,appvcleaner.exe|a277b7d55e210668,pe64_amd64,False,16.0.18324.20194,16.0.18324.0,1100580288,0,
Unassociated,0006b87128803f94b8fb39adc9d9159a333200000000,2025-01-31 14:26:04,cdc6c7ca1dd4ca0a63004fcd84f9b7992eb547ed,False,c:\program files\common files\microsoft shared\clicktorun\appvshnotify.exe,AppVShNotify.exe,.exe,2025-01-15 09:36:04,microsoft office,222000,16.0.18324.20194,16.0.18324.20194,appvshnotify.exe|8d1f583773715b8f,pe64_amd64,False,16.0.18324.20194,16.0.18324.0,1100583680,0,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2025-07-08 14:23:41,67a105716996cc35cdf8c69604d2e7d108ea21a3,True,c:\windows\system32\audiodg.exe,audiodg.exe,.exe,2035-11-28 13:55:12,microsoft® windows® operating system,632880,10.0.19041.5794 (winbuild.160101.0800),10.0.19041.5794,audiodg.exe|b69448042cce977b,pe64_amd64,False,10.0.19041.5794,10.0.19041.5794,1866489384,1033,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2025-07-08 12:45:05,1a7420c80605af7e8f557230fca461d61fa9e74c,True,c:\windows\system32\autochk.exe,autochk.exe,.exe,1993-08-23 12:25:17,microsoft® windows® operating system,972800,10.0.19041.3636 (winbuild.160101.0800),10.0.19041.3636,autochk.exe|62a87acc15a1c57f,pe64_amd64,False,10.0.19041.3636,10.0.19041.3636,1866871128,1033,
Unassociated,00063b0600b8f7820c20b87148eae38750840000ffff,2025-07-08 15:12:26,79435b9416b1f404fe3257bdb07c0ba8043907b2,False,c:\users\client\downloads\dist\calculadora.exe,calculadora.exe,.exe,2025-07-08 14:20:03,,11113438,,,calculadora.exe|d5e892ad623b70cf,pe64_amd64,False,,,1879104352,0,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2025-07-08 15:31:25,4772dd126975f178f71f86a04b144add841a2a1a,True,c:\windows\syswow64\certutil.exe,certutil.exe,.exe,2043-06-06 20:36:45,microsoft® windows® operating system,1296384,10.0.19041.5794 (winbuild.160101.0800),10.0.19041.5794,certutil.exe|ac23a913bfcd42f0,pe32_i386,False,10.0.19041.5794,10.0.19041.5794,1868069640,1033,
