{'create_time': 0.0, 'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process'}
{'create_time': 1752079155.8623552, 'pid': 4, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System'}
{'create_time': 1752079147.666741, 'pid': 92, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'Registry'}
{'create_time': 1752079155.877519, 'pid': 364, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'smss.exe'}
{'create_time': 1752080895.796309, 'pid': 376, 'username': 'LAB-ZZ-WIN\\client', 'name': 'chrome.exe'}
{'create_time': 1752081614.9945168, 'pid': 396, 'username': 'LAB-ZZ-WIN\\client', 'name': 'chrome.exe'}
{'create_time': 1752079163.460778, 'pid': 408, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'svchost.exe'}
{'create_time': 1752079163.0522408, 'pid': 424, 'username': 'Window Manager\\DWM-1', 'name': 'dwm.exe'}
{'create_time': 1752079160.407386, 'pid': 480, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'csrss.exe'}
{'create_time': 1752079160.6026733, 'pid': 556, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'wininit.exe'}
{'create_time': 1752079160.603096, 'pid': 564, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'csrss.exe'}
{'create_time': 1752079160.780844, 'pid': 652, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'services.exe'}
{'create_time': 1752079160.789038, 'pid': 660, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'winlogon.exe'}
{'create_time': 1752079160.8722956, 'pid': 672, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'lsass.exe'}
{'create_time': 1752079161.5581372, 'pid': 784, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe'}
{'create_time': 1752079161.574088, 'pid': 796, 'username': 'Font Driver Host\\UMFD-0', 'name': 'fontdrvhost.exe'}
{'create_time': 1752079161.577788, 'pid': 808, 'username': 'Font Driver Host\\UMFD-1', 'name': 'fontdrvhost.exe'}
{'create_time': 1752079162.4316063, 'pid': 880, 'username': 'NT AUTHORITY\\NETWORK SERVICE', 'name': 'svchost.exe'}
{'create_time': 1752079162.541947, 'pid': 928, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe'}
{'create_time': 1752081111.3525484, 'pid': 980, 'username': 'LAB-ZZ-WIN\\client', 'name': 'chrome.exe'}
{'create_time': 1752079162.9902697, 'pid': 992, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe'}
{'create_time': 1752079163.0029187, 'pid': 1012, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'svchost.exe'}
{'create_time': 1752079163.0097802, 'pid': 1020, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'svchost.exe'}
{'create_time': 1752079163.5304363, 'pid': 1048, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe'}
{'create_time': 1752079163.6622267, 'pid': 1080, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe'}
{'create_time': 1752079163.857728, 'pid': 1128, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'svchost.exe'}
{'create_time': 1752079163.9345264, 'pid': 1156, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe'}
{'create_time': 1752081644.8191977, 'pid': 1168, 'username': 'LAB-ZZ-WIN\\client', 'name': 'powershell.exe'}
{'create_time': 1752079163.9801512, 'pid': 1176, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'svchost.exe'}
{'create_time': 1752079163.980872, 'pid': 1184, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'svchost.exe'}
{'create_time': 1752081753.9823368, 'pid': 1240, 'username': 'LAB-ZZ-WIN\\client', 'name': 'conhost.exe'}
{'create_time': 1752079164.3456492, 'pid': 1308, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'SEDService.exe'}
{'create_time': 1752079167.3815007, 'pid': 1340, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'svchost.exe'}
{'create_time': 1752079502.7291286, 'pid': 1392, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'SophosFS.exe'}
{'create_time': 1752079164.9738033, 'pid': 1496, 'username': 'NT AUTHORITY\\NETWORK SERVICE', 'name': 'svchost.exe'}
{'create_time': 1752079165.0092676, 'pid': 1508, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'svchost.exe'}
{'create_time': 1752081596.4222596, 'pid': 1560, 'username': 'LAB-ZZ-WIN\\client', 'name': 'smartscreen.exe'}
{'create_time': 1752081572.17122, 'pid': 1588, 'username': 'LAB-ZZ-WIN\\client', 'name': 'chrome.exe'}
{'create_time': 1752080434.427944, 'pid': 1616, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'svchost.exe'}
{'create_time': 1752079165.528797, 'pid': 1640, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'hmpalert.exe'}
{'create_time': 1752079167.515014, 'pid': 1692, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'svchost.exe'}
{'create_time': 1752079165.9492266, 'pid': 1712, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe'}
{'create_time': 1752079165.9560297, 'pid': 1720, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'svchost.exe'}
{'create_time': 1752079165.962358, 'pid': 1728, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'svchost.exe'}
{'create_time': 1752079165.999658, 'pid': 1736, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'svchost.exe'}
{'create_time': 1752079517.320789, 'pid': 1744, 'username': 'LAB-ZZ-WIN\\client', 'name': 'RuntimeBroker.exe'}
{'create_time': 1752079166.006878, 'pid': 1748, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe'}
{'create_time': 1752079232.9415953, 'pid': 1784, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe'}
{'create_time': 1752079166.5622437, 'pid': 1808, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'MemCompression'}
{'create_time': 1752079166.7070715, 'pid': 1892, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe'}
{'create_time': 1752079190.1215396, 'pid': 1928, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'dllhost.exe'}
{'create_time': 1752079166.9602015, 'pid': 1936, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe'}
{'create_time': 1752079167.0130565, 'pid': 1960, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'svchost.exe'}
{'create_time': 1752080117.4750452, 'pid': 2052, 'username': 'LAB-ZZ-WIN\\client', 'name': 'SDXHelper.exe'}
{'create_time': 1752079167.6285024, 'pid': 2068, 'username': 'NT AUTHORITY\\NETWORK SERVICE', 'name': 'svchost.exe'}
{'create_time': 1752079167.929169, 'pid': 2160, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'svchost.exe'}
{'create_time': 1752079167.961094, 'pid': 2176, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'svchost.exe'}
{'create_time': 1752081538.2713213, 'pid': 2188, 'username': 'LAB-ZZ-WIN\\client', 'name': 'chrome.exe'}
{'create_time': 1752079289.0188327, 'pid': 2200, 'username': 'LAB-ZZ-WIN\\client', 'name': 'svchost.exe'}
{'create_time': 1752079168.0943608, 'pid': 2220, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe'}
{'create_time': 1752079329.0835323, 'pid': 2236, 'username': 'LAB-ZZ-WIN\\client', 'name': 'svchost.exe'}
{'create_time': 1752079168.1816874, 'pid': 2256, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe'}
{'create_time': 1752079251.0473435, 'pid': 2296, 'username': 'LAB-ZZ-WIN\\client', 'name': 'svchost.exe'}
{'create_time': 1752079168.65449, 'pid': 2400, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'spoolsv.exe'}
{'create_time': 1752080886.5987844, 'pid': 2428, 'username': 'LAB-ZZ-WIN\\client', 'name': 'chrome.exe'}
{'create_time': 1752079168.8200684, 'pid': 2432, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'svchost.exe'}
{'create_time': 1752079169.0317192, 'pid': 2480, 'username': 'NT AUTHORITY\\NETWORK SERVICE', 'name': 'svchost.exe'}
{'create_time': 1752079187.290512, 'pid': 2528, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'SophosNtpService.exe'}
{'create_time': 1752081075.66228, 'pid': 2568, 'username': 'LAB-ZZ-WIN\\client', 'name': 'chrome.exe'}
{'create_time': 1752081753.646444, 'pid': 2580, 'username': 'LAB-ZZ-WIN\\client', 'name': 'powershell.exe'}
{'create_time': 1752079170.7178297, 'pid': 2692, 'username': 'NT AUTHORITY\\NETWORK SERVICE', 'name': 'svchost.exe'}
{'create_time': 1752079170.7277672, 'pid': 2700, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe'}
{'create_time': 1752079214.6219618, 'pid': 2712, 'username': 'LAB-ZZ-WIN\\client', 'name': 'ctfmon.exe'}
{'create_time': 1752079170.7596657, 'pid': 2716, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'svchost.exe'}
{'create_time': 1752079502.8992517, 'pid': 2724, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'SophosFileScanner.exe'}
{'create_time': 1752079170.9443953, 'pid': 2732, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'svchost.exe'}
{'create_time': 1752079171.001712, 'pid': 2744, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe'}
{'create_time': 1752079295.0174744, 'pid': 2788, 'username': 'LAB-ZZ-WIN\\client', 'name': 'msedge.exe'}
{'create_time': 1752079171.5074892, 'pid': 2844, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe'}
{'create_time': 1752080862.1269615, 'pid': 2852, 'username': 'LAB-ZZ-WIN\\client', 'name': 'Wireshark.exe'}
{'create_time': 1752081625.1743765, 'pid': 2868, 'username': 'LAB-ZZ-WIN\\client', 'name': 'chrome.exe'}
{'create_time': 1752079171.597257, 'pid': 2876, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'svchost.exe'}
{'create_time': 1752079171.8139825, 'pid': 2896, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'VGAuthService.exe'}
