RunTime,ExecutableName
2025-07-08 19:19:56,\VOLUME{01da6ccaad22ad19-96ad979b}\PROGRAM FILES\MICROSOFT OFFICE\ROOT\VFS\PROGRAMFILESCOMMONX64\MICROSOFT SHARED\OFFICE16\AI\AI.EXE
2025-07-08 19:15:11,\VOLUME{01da6ccaad22ad19-96ad979b}\PROGRAM FILES\MICROSOFT OFFICE\ROOT\VFS\PROGRAMFILESCOMMONX64\MICROSOFT SHARED\OFFICE16\AI\AI.EXE
2025-07-08 18:59:24,\VOLUME{01da6ccaad22ad19-96ad979b}\PROGRAM FILES\MICROSOFT OFFICE\ROOT\VFS\PROGRAMFILESCOMMONX64\MICROSOFT SHARED\OFFICE16\AI\AI.EXE
2025-07-08 18:36:47,\VOLUME{01da6ccaad22ad19-96ad979b}\PROGRAM FILES\MICROSOFT OFFICE\ROOT\VFS\PROGRAMFILESCOMMONX64\MICROSOFT SHARED\OFFICE16\AI\AI.EXE
2025-07-08 18:19:07,\VOLUME{01da6ccaad22ad19-96ad979b}\PROGRAM FILES\MICROSOFT OFFICE\ROOT\VFS\PROGRAMFILESCOMMONX64\MICROSOFT SHARED\OFFICE16\AI\AI.EXE
2025-07-08 18:18:41,\VOLUME{01da6ccaad22ad19-96ad979b}\PROGRAM FILES\MICROSOFT OFFICE\ROOT\VFS\PROGRAMFILESCOMMONX64\MICROSOFT SHARED\OFFICE16\AI\AI.EXE
2025-07-08 17:26:46,\VOLUME{01da6ccaad22ad19-96ad979b}\PROGRAM FILES\MICROSOFT OFFICE\ROOT\VFS\PROGRAMFILESCOMMONX64\MICROSOFT SHARED\OFFICE16\AI\AI.EXE
2025-07-09 17:22:21,\VOLUME{01da6ccaad22ad19-96ad979b}\USERS\CLIENT\AMCACHEPARSER\AMCACHEPARSER.EXE
2025-07-09 16:25:32,\VOLUME{01da6ccaad22ad19-96ad979b}\USERS\CLIENT\AMCACHEPARSER\AMCACHEPARSER.EXE
2025-07-09 15:32:50,\VOLUME{01da6ccaad22ad19-96ad979b}\USERS\CLIENT\AMCACHEPARSER\AMCACHEPARSER.EXE
2025-07-09 16:56:08,\VOLUME{01da6ccaad22ad19-96ad979b}\WINDOWS\SYSTEM32\APPLICATIONFRAMEHOST.EXE
2025-07-09 14:57:23,\VOLUME{01da6ccaad22ad19-96ad979b}\WINDOWS\SYSTEM32\APPLICATIONFRAMEHOST.EXE
2025-07-08 20:26:26,\VOLUME{01da6ccaad22ad19-96ad979b}\WINDOWS\SYSTEM32\APPLICATIONFRAMEHOST.EXE
2025-07-08 20:10:47,\VOLUME{01da6ccaad22ad19-96ad979b}\WINDOWS\SYSTEM32\APPLICATIONFRAMEHOST.EXE
2025-07-08 19:35:31,\VOLUME{01da6ccaad22ad19-96ad979b}\WINDOWS\SYSTEM32\APPLICATIONFRAMEHOST.EXE
2025-07-08 19:16:56,\VOLUME{01da6ccaad22ad19-96ad979b}\WINDOWS\SYSTEM32\APPLICATIONFRAMEHOST.EXE
2025-07-08 19:02:51,\VOLUME{01da6ccaad22ad19-96ad979b}\WINDOWS\SYSTEM32\APPLICATIONFRAMEHOST.EXE
2025-07-08 18:45:34,\VOLUME{01da6ccaad22ad19-96ad979b}\WINDOWS\SYSTEM32\APPLICATIONFRAMEHOST.EXE
2025-07-09 17:19:43,\VOLUME{01da6ccaad22ad19-96ad979b}\WINDOWS\SYSTEM32\AUDIODG.EXE
2025-07-09 17:05:12,\VOLUME{01da6ccaad22ad19-96ad979b}\WINDOWS\SYSTEM32\AUDIODG.EXE
2025-07-09 16:49:21,\VOLUME{01da6ccaad22ad19-96ad979b}\WINDOWS\SYSTEM32\AUDIODG.EXE
2025-07-09 16:41:21,\VOLUME{01da6ccaad22ad19-96ad979b}\WINDOWS\SYSTEM32\AUDIODG.EXE
2025-07-09 16:35:33,\VOLUME{01da6ccaad22ad19-96ad979b}\WINDOWS\SYSTEM32\AUDIODG.EXE
2025-07-09 16:15:25,\VOLUME{01da6ccaad22ad19-96ad979b}\WINDOWS\SYSTEM32\AUDIODG.EXE
2025-07-09 16:09:26,\VOLUME{01da6ccaad22ad19-96ad979b}\WINDOWS\SYSTEM32\AUDIODG.EXE
2025-07-09 15:55:25,\VOLUME{01da6ccaad22ad19-96ad979b}\WINDOWS\SYSTEM32\AUDIODG.EXE
2025-07-09 16:45:41,\VOLUME{01da6ccaad22ad19-96ad979b}\PROGRAM FILES\SOPHOS\AUTOUPDATE\TELEMETRY\AUTELEM.EXE
2025-07-09 17:00:19,\VOLUME{01da6ccaad22ad19-96ad979b}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2025-07-09 16:44:39,\VOLUME{01da6ccaad22ad19-96ad979b}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2025-07-09 16:09:22,\VOLUME{01da6ccaad22ad19-96ad979b}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2025-07-09 15:20:51,\VOLUME{01da6ccaad22ad19-96ad979b}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2025-07-09 15:16:33,\VOLUME{01da6ccaad22ad19-96ad979b}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2025-07-09 15:11:48,\VOLUME{01da6ccaad22ad19-96ad979b}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2025-07-09 15:11:36,\VOLUME{01da6ccaad22ad19-96ad979b}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2025-07-09 14:56:06,\VOLUME{01da6ccaad22ad19-96ad979b}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2025-07-09 14:56:08,\VOLUME{01da6ccaad22ad19-96ad979b}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
