USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
root               368  33.8  0.2 411187808  12864   ??  Ss    7:59PM   0:53.39 /Library/SystemExtensions/4B65AAED-199D-451F-BD43-94565BA2CB63/com.sophos.endpoint.scanextension.systemextension/Contents/MacOS/com.sophos.endpoint.scanextension
root              1708  23.5  0.4 411102464  25712 s000  S+    8:22PM   0:00.14 /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/Resources/Python.app/Contents/MacOS/Python collector-macOSv2.py
_sophos            385  22.8  0.2 411184912  10496   ??  Ss    7:59PM   0:27.39 SophosCryptoGuard
root               116  15.5  0.4 426980864  27680   ??  Rs    7:59PM   0:12.58 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Support/mds
_sophos            379  13.3  0.7 411211552  45616   ??  Ss    7:59PM   0:34.48 SophosEventMonitor
root               332  13.2  1.1 432172608  69056   ??  Us    7:59PM   0:19.91 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mds_stores
developer         1694  11.4  0.4 426934848  25536   ??  S     8:22PM   0:00.12 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
developer         1700  10.0  0.4 426934864  25440   ??  R     8:22PM   0:00.11 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
developer         1690   9.6  0.4 426934864  25168   ??  R     8:22PM   0:00.09 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
developer         1702   9.2  0.5 426941856  28976   ??  R     8:22PM   0:00.09 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
developer         1697   9.0  0.5 426935424  28352   ??  S     8:22PM   0:00.11 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
developer         1701   9.0  0.5 426935424  28432   ??  R     8:22PM   0:00.11 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
developer         1691   8.1  0.4 426934864  25008   ??  R     8:22PM   0:00.11 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
developer         1680   7.8  0.4 426935424  26480   ??  S     8:22PM   0:00.13 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
developer         1695   7.3  0.5 426935424  29488   ??  S     8:22PM   0:00.12 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
_windowserver      163   6.6  1.0 411429376  65616   ??  Rs    7:59PM   1:34.23 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer -daemon
developer         1698   5.7  0.4 426934864  26112   ??  R     8:22PM   0:00.08 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
developer         1685   5.7  0.5 426935424  28656   ??  S     8:22PM   0:00.10 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
developer         1696   5.4  0.4 426934864  26048   ??  R     8:22PM   0:00.10 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
root               162   2.4  0.2 426924608   9904   ??  Ss    7:59PM   0:01.70 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/contextstored
_mdnsresponder     209   2.1  0.2 426931056  10944   ??  Ss    7:59PM   0:02.20 /usr/sbin/mDNSResponder
root              1707   1.6  0.1 411015776   6528 s000  S+    8:22PM   0:00.02 sudo python3 collector-macOSv2.py
root                92   1.6  0.1 426890352   7552   ??  Ss    7:59PM   0:03.25 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
_trustd            176   1.4  0.2 426921584   9952   ??  Ss    7:59PM   0:21.16 /usr/libexec/trustd
developer         1549   1.3  0.9 411424992  58096   ??  S     8:21PM   0:02.09 /System/Applications/Utilities/Terminal.app/Contents/MacOS/Terminal
root               127   1.1  0.2 426923856  15440   ??  Ss    7:59PM   0:05.07 /usr/libexec/opendirectoryd
root               376   0.8  0.3 411254736  19392   ??  SN    7:59PM   0:25.20 /Library/Sophos Live Query/SophosOSQuery   
root                 1   0.7  0.2 426853152  15088   ??  Ss    7:59PM   0:10.31 /sbin/launchd
root               159   0.7  0.1 426884400   4768   ??  Ss    7:59PM   0:02.13 /usr/sbin/cfprefsd daemon
_sophos            382   0.7  1.2 411379984  73216   ??  Ss    7:59PM   0:38.32 Sophos Detection
