2025-07-21 17:41:16 startup archives install
2025-07-21 17:41:16 install base-passwd:amd64 <none> 3.6.1
2025-07-21 17:41:16 status half-installed base-passwd:amd64 3.6.1
2025-07-21 17:41:16 status unpacked base-passwd:amd64 3.6.1
2025-07-21 17:41:16 configure base-passwd:amd64 3.6.1 3.6.1
2025-07-21 17:41:16 status half-configured base-passwd:amd64 3.6.1
2025-07-21 17:41:17 status installed base-passwd:amd64 3.6.1
2025-07-21 17:41:17 startup archives install
2025-07-21 17:41:17 install base-files:amd64 <none> 12.4+deb12u11
2025-07-21 17:41:17 status half-installed base-files:amd64 12.4+deb12u11
2025-07-21 17:41:17 status unpacked base-files:amd64 12.4+deb12u11
2025-07-21 17:41:17 configure base-files:amd64 12.4+deb12u11 12.4+deb12u11
2025-07-21 17:41:17 status half-configured base-files:amd64 12.4+deb12u11
2025-07-21 17:41:17 status installed base-files:amd64 12.4+deb12u11
2025-07-21 17:41:17 startup archives install
2025-07-21 17:41:17 upgrade dpkg 1.21.22 1.21.22
2025-07-21 17:41:17 status half-configured dpkg 1.21.22
2025-07-21 17:41:17 status unpacked dpkg 1.21.22
2025-07-21 17:41:17 status half-installed dpkg 1.21.22
2025-07-21 17:41:17 status unpacked dpkg:amd64 1.21.22
2025-07-21 17:41:17 configure dpkg:amd64 1.21.22 1.21.22
2025-07-21 17:41:17 status half-configured dpkg:amd64 1.21.22
2025-07-21 17:41:18 status installed dpkg:amd64 1.21.22
2025-07-21 17:41:18 startup archives install
2025-07-21 17:41:18 install libc6:amd64 <none> 2.36-9+deb12u10
2025-07-21 17:41:18 status half-installed libc6:amd64 2.36-9+deb12u10
2025-07-21 17:41:18 status unpacked libc6:amd64 2.36-9+deb12u10
2025-07-21 17:41:18 configure libc6:amd64 2.36-9+deb12u10 2.36-9+deb12u10
2025-07-21 17:41:18 status half-configured libc6:amd64 2.36-9+deb12u10
2025-07-21 17:41:19 status installed libc6:amd64 2.36-9+deb12u10
2025-07-21 17:41:19 startup archives install
2025-07-21 17:41:19 install perl-base:amd64 <none> 5.36.0-7+deb12u2
2025-07-21 17:41:19 status half-installed perl-base:amd64 5.36.0-7+deb12u2
2025-07-21 17:41:19 status unpacked perl-base:amd64 5.36.0-7+deb12u2
2025-07-21 17:41:19 configure perl-base:amd64 5.36.0-7+deb12u2 5.36.0-7+deb12u2
2025-07-21 17:41:19 status half-configured perl-base:amd64 5.36.0-7+deb12u2
2025-07-21 17:41:19 status installed perl-base:amd64 5.36.0-7+deb12u2
2025-07-21 17:41:19 startup archives install
