COMMAND    PID     USER   FD   TYPE DEVICE SIZE/OFF NODE NAME
dhclient   516     root    7u  IPv4  21346      0t0  UDP *:bootpc 
pmd        666     root  229u  IPv4  27785      0t0  TCP 172.16.166.143:52786->231.77.98.34.bc.googleusercontent.com:https (ESTABLISHED)
pmd        666     root  240u  IPv4  27467      0t0  UDP *:33221 
pmd        666     root  244u  IPv4  27487      0t0  TCP *:33221 (LISTEN)
sshd       684     root    3u  IPv4  21459      0t0  TCP *:ssh (LISTEN)
sshd       684     root    4u  IPv6  21471      0t0  TCP *:ssh (LISTEN)
sshd      1611     root    4u  IPv4  31312      0t0  TCP 172.16.166.143:ssh->172.16.166.1:51356 (ESTABLISHED)
sshd      1639 pun1sh3r    4u  IPv4  31312      0t0  TCP 172.16.166.143:ssh->172.16.166.1:51356 (ESTABLISHED)
sshd      2062     root    4u  IPv4  38071      0t0  TCP 172.16.166.143:ssh->172.16.166.1:37586 (ESTABLISHED)
sshd      2068 pun1sh3r    4u  IPv4  38071      0t0  TCP 172.16.166.143:ssh->172.16.166.1:37586 (ESTABLISHED)
apache2  28916     root    4u  IPv6 456350      0t0  TCP *:http (LISTEN)
apache2  28917 www-data    4u  IPv6 456350      0t0  TCP *:http (LISTEN)
apache2  28918 www-data    4u  IPv6 456350      0t0  TCP *:http (LISTEN)
apache2  28918 www-data   12u  IPv6 468917      0t0  TCP 172.16.166.143:http->172.16.166.128:54055 (ESTABLISHED)
apache2  28920 www-data    4u  IPv6 456350      0t0  TCP *:http (LISTEN)
apache2  28921 www-data    4u  IPv6 456350      0t0  TCP *:http (LISTEN)
apache2  28922 www-data    4u  IPv6 456350      0t0  TCP *:http (LISTEN)
apache2  28930 www-data    4u  IPv6 456350      0t0  TCP *:http (LISTEN)
apache2  28937 www-data    4u  IPv6 456350      0t0  TCP *:http (LISTEN)
apache2  28938 www-data    4u  IPv6 456350      0t0  TCP *:http (LISTEN)
apache2  28938 www-data   12u  IPv6 469018      0t0  TCP 172.16.166.143:http->172.16.166.137:52344 (ESTABLISHED)
apache2  28939 www-data    4u  IPv6 456350      0t0  TCP *:http (LISTEN)
apache2  28939 www-data   12u  IPv6 468748      0t0  TCP 172.16.166.143:http->172.16.166.137:52343 (ESTABLISHED)
sshd     29184     root    4u  IPv4 460405      0t0  TCP 172.16.166.143:ssh->172.16.166.1:48832 (ESTABLISHED)
sshd     29191 pun1sh3r    4u  IPv4 460405      0t0  TCP 172.16.166.143:ssh->172.16.166.1:48832 (ESTABLISHED)
apache2  29302 www-data    4u  IPv6 456350      0t0  TCP *:http (LISTEN)
apache2  29303 www-data    4u  IPv6 456350      0t0  TCP *:http (LISTEN)
